"ticker","quarter_ended","total_income","net_profit_loss","earnings_per_share"
"BHAGCHEM","31-Dec-2024","10,822.66","712.98","0.57"
"EXICOM","31-Dec-2024","16,095.23","-974.99","-0.81"
"GREAVESCOT","31-Mar-2025","58,280.00","6,181.00","2.66"
"AVALON","31-Mar-2025","34,596.40","2,427.70","3.67"
"LGBBROSLTD","31-Mar-2025","68,462.01","8,402.69","26.35"
"MEDIASSIST","31-Mar-2025","4,318.50","1,073.10","1.53"
"AVANTEL","31-Mar-2025","4,961.89","735.64","0.30"
"SKYGOLD","31-Dec-2024","73,338.84","2,760.57","1.91"
"PFOCUS","31-Dec-2024","1,180.26","-1,216.09","-0.41"
"ISMTLTD","30-Jun-2024","58,205.00","2,918.00","0.97"
"SUNFLAG","31-Dec-2024","89,475.00","5,044.00","2.80"
"FCL","31-Dec-2024","11,383.95","2,448.82","2.16"
"MOREPENLAB","31-Mar-2025","47,046.47","2,031.54","0.35"
"NORTHARC","31-Dec-2024","56,441.30","10,226.50","6.34"
"VENUSPIPES","31-Dec-2024","23,227.00","1,797.30","8.84"
"V2RETAIL","31-Dec-2024","59,138.07","5,087.88","14.71"
"GUFICBIO","31-Dec-2024","20,965.75","1,932.42","1.93"
"JTLIND","31-Dec-2024","45,350.79","2,497.30","0.64"
"FIEMIND","31-Dec-2024","59,691.49","4,741.52","18.02"
"CIGNITITEC","31-Mar-2025","54,707.46","7,315.02","26.55"
"WSTCSTPAPR","31-Dec-2024","68,363.49","5,821.68","8.81"
"IMFA","31-Dec-2024","65,892.00","8,613.00","15.96"
"TCIEXP","31-Dec-2024","29,889.00","2,068.00","5.39"
"KKCL","31-Mar-2025","29,088.00","3,024.00","4.73"
"KPEL","31-Mar-2025","40,864.74","4,579.39","6.87"
"JSLL","31-MAR-2025","25,539.62","4,384.98","17.64"
"GOKULAGRO","31-Dec-2024","4,31,040.54","5,783.09","3.92"
"KRN","31-Mar-2025","13,216.31","1,375.00","2.20"
"SOTL","31-Mar-2025","1,01,174.45","2,922.19","4.26"
"SULA","31-Mar-2025","9,819.00","-489.00","-0.58"
"JNKINDIA","31-Dec-2024","9,674.00","291.00","0.53"
"DCBBANK","31-Mar-2025","1,96,071.00","17,707.00","5.64"
"DCXINDIA","31-Dec-2024","30,043.40","1,165.40","1.05"
"VSTTILLERS","31-Mar-2025","30,051.00","2,498.00","28.91"
"INDIAGLYCO","31-Mar-2025","2,18,959.00","5,035.00","16.26"
"KSL","31-Mar-2025","55,708.20","7,928.30","18.16"
"DHANI","31-Mar-2025","982.47","-2,369.35","-0.41"
"KDDL","31-Dec-2024","9,898.00","1,613.00","12.97"
"SPANDANA","31-Dec-2024","52,876.00","-39,388.00","-55.24"
"VEEDOL","31-Dec-2024","40,892.00","3,362.00","19.78"
"SEPC","31-Dec-2024","15,975.40","453.92","0.03"
"ARTEMISMED","31-Mar-2025","25,224.51","2,292.39","1.47"
"LUMAXTECH","31-Dec-2024","38,987.92","2,218.11","3.25"
"POLYPLEX","31-Dec-2024","41,686.00","1,919.00","6.12"
"SWARAJENG","31-Mar-2025","45,882.00","4,542.00","37.39"
"HONDAPOWER","31-Mar-2025","27,994.00","3,616.00","35.65"
"KINGFA","31-Dec-2024","44,511.17","3,462.58","28.59"
"LAOPALA","31-Dec-2024","10,079.31","2,316.97","2.09"
"ARVSMART","31-Dec-2024","2,976.02","192.32","0.42"
"PARKHOTELS","31-Dec-2024","17,408.00","3,190.00","1.49"
"MUTHOOTMF","31-Mar-2025","55,622.10","-40,115.00","-23.54"
"HGS","31-Dec-2024","49,114.00","-5,480.00","-11.78"
"STYLAMIND","31-Dec-2024","25,628.36","3,040.80","17.90"
"HMT","31-Dec-2024","2,224.00","659.00","0.19"
"MPSLTD","31-Mar-2025","18,921.00","4,707.00","27.76"
"INDRAMEDCO","31-Mar-2025","34,010.00","4,101.00","4.47"
"RPGLIFE","31-Mar-2025","14,815.00","11,735.00","70.96"
"SANGHVIMOV","31-Dec-2024","12,765.68","1,840.30","2.13"
"CARRARO","31-Dec-2024","44,890.66","1,413.67","2.49"
"BEPL","31-Mar-2025","35,261.29","3,920.95","1.58"
"JINDALPOLY","31-Dec-2024","19,836.45","-250.93","-0.57"
"DATAMATICS","31-Mar-2025","50,529.00","4,488.00","7.60"
"HPL","31-Dec-2024","38,557.41","1,783.61","2.77"
"DALMIASUG","31-Mar-2025","1,03,828.00","20,632.00","25.49"
"ALEMBICLTD","31-Mar-2025","6,099.71","2,282.83","0.89"
"SCILAL","31-Mar-2025","2,599.00","-22,437.00","-4.82"
"HATHWAY","31-Mar-2025","54,660.00","3,480.00","0.20"
"TCNSBRANDS","30-Jun-2024","20,975.80","-5,974.40","-9.42"
"CARERATING","31-Mar-2025","12,482.46","4,337.21","14.24"
"SHK","31-Mar-2025","56,904.00","10,251.00","7.41"
"SBCL","31-Dec-2024","10,957.38","1,752.49","3.04"
"MTNL","31-Dec-2024","31,805.90","-83,605.30","-13.27"
"SEAMECLTD","31-Dec-2024","13,266.00","225.00","0.88"
"INDOSTAR","31-Mar-2025","37,501.00","3,619.00","0.92"
"SERVOTECH","31-Mar-2025","14,745.97","771.63","0.35"
"ASHIANA","31-Dec-2024","11,978.00","1,104.00","1.12"
"SANDHAR","31-Dec-2024","74,235.81","3,519.94","5.85"
"GIPCL","31-Dec-2024","33,675.88","3,920.07","2.59"
"DPABHUSHAN","31-Mar-2025","71,764.11","2,515.28","10.96"
"EPACK","31-Dec-2024","38,170.77","320.82","0.33"
"SINDHUTRAD","31-Dec-2024","12,225.30","1,460.73","0.09"
"BAJAJCON","31-Mar-2025","25,857.46","3,098.44","2.23"
"SSWL","31-Mar-2025","1,23,741.89","6,170.08","3.93"
"QUICKHEAL","31-Mar-2025","7,074.00","-325.00","-0.60"
"NUCLEUS","31-Mar-2025","22,952.00","-","24.01"
"DELTACORP","31-Mar-2025","14,654.00","5,935.00","2.22"
"NAVNETEDUL","31-Mar-2025","39,158.00","2,916.00","1.32"
"TIRUMALCHM","31-Mar-2025","53,084.00","-1,406.00","-1.37"
"BFUTILITIE","31-Dec-2024","285.82","-61.83","-0.16"
"MAHLOG","31-Mar-2025","1,57,168.00","-529.00","-0.93"
"RPSGVENT","31-Mar-2025","23,476.00","13,408.00","40.52"
"GENSOL","31-Dec-2024","29,499.00","1,501.00","3.96"
"GOLDIAM","31-Dec-2024","20,847.40","1,829.65","1.71"
"VPRPL","31-Dec-2024","24,311.00","385.70","0.31"
"MARINE","31-Dec-2024","18,978.98","1,021.76","0.76"
"PRAKASH","31-Dec-2024","93,249.00","8,374.00","4.68"
"GEOJITFSL","31-Dec-2024","16,050.03","3,175.49","1.16"
"GOODLUCK","31-Dec-2024","94,431.36","4,008.39","11.85"
"MAITHANALL","31-Dec-2024","63,801.00","9,520.00","32.70"
"KITEX","31-Dec-2024","28,787.83","4,344.99","6.53"
"SJS","31-Mar-2025","10,484.20","2,455.60","7.84"
"PRECWIRE","31-Mar-2025","1,05,437.66","2,958.40","1.66"
"GTLINFRA","31-Mar-2025","34,051.00","-24,889.00","-0.19"
"DCAL","31-Dec-2024","8,903.00","-1,328.00","-0.85"
"FLAIR","31-Dec-2024","23,904.92","2,694.34","2.56"
"SANATHAN","31-Dec-2024","74,965.00","3,733.00","5.10"
"TVSSRICHAK","31-Dec-2024","74,881.00","-308.00","-4.02"
"PFS","31-Mar-2025","15,524.00","5,817.00","0.91"
"SAKSOFT","31-Dec-2024","7,274.63","868.99","0.65"
"APOLLO","31-Dec-2024","14,961.38","1,844.34","0.61"
"CAPACITE","31-Dec-2024","57,302.28","3,675.34","4.34"
"REPCOHOME","31-Mar-2025","43,500.00","12,065.00","19.29"
"MARATHON","31-Dec-2024","6,128.23","3,484.15","6.80"
"INDOCO","31-Dec-2024","37,724.00","-1,023.00","-1.11"
"BAJEL","31-Dec-2024","62,982.51","145.83","0.13"
"KCP","31-Dec-2024","34,176.50","-1,590.10","-1.23"
"SURAJEST","31-Dec-2024","15,554.80","2,212.60","4.69"
"ASHAPURMIN","31-Dec-2024","10,329.85","2,602.78","2.74"
"WENDT","31-Mar-2025","7,255.00","1,247.00","62.34"
"GENESYS","31-Dec-2024","7,890.72","1,788.90","4.51"
"JASH","31-Mar-2025","17,938.25","1,909.43","3.05"
"POKARNA","31-Dec-2024","731.84","-211.88","-0.72"
"ADFFOODS","31-Mar-2025","13,568.65","2,149.62","1.96"
"EVEREADY","31-Mar-2025","29,910.00","1,047.00","1.44"
"SALASAR","31-Dec-2024","37,461.38","1,265.15","0.07"
"FINOPB","31-Mar-2025","49,349.00","2,400.00","2.89"
"SAGCEM","31-Mar-2025","66,152.00","-7,305.00","-5.59"
"NSIL","31-Dec-2024","837.14","578.70","11.27"
"TASTYBITE","31-Dec-2024","18,348.40","1,303.10","50.78"
"RPEL","31-Mar-2025","5,108.38","1,012.62","2.21"
"HINDOILEXP","31-Dec-2024","7,006.10","493.27","0.37"
"SUVEN","31-Mar-2025","265.78","-1,507.01","-0.69"
"KOLTEPATIL","31-Dec-2024","30,472.00","2,783.00","3.66"
"PREMEXPLN","31-Dec-2024","16,613.84","918.79","1.71"
"SPECTRUM","No Records",,,
"NRBBEARING","31-Mar-2025","29,906.00","-511.00","-0.53"
"DOLLAR","31-Mar-2025","55,091.20","2,986.36","5.16"
"ORIENTHOT","31-Mar-2025","13,336.00","1,769.00","0.99"
"SOMANYCERA","31-Mar-2025","77,278.00","1,871.00","5.20"
"IDEAFORGE","31-Mar-2025","2,825.80","-2,040.00","-4.70"
"FOSECOIND","31-Mar-2025","15,273.56","2,166.87","33.93"
"VADILALIND","31-Dec-2024","15,022.00","747.00","10.39"
"AJMERA","31-Mar-2025","11,961.00","2,861.00","7.27"
"HITECH","31-Dec-2024","63,407.89","1,660.38","0.94"
"AUTOAXLES","31-Dec-2024","53,676.60","3,958.10","26.20"
"GLOBUSSPR","31-Mar-2025","87,859.95","629.93","2.18"
"GEPIL","31-Dec-2024","34,429.00","-1,959.00","1.17"
"TCPLPACK","31-Dec-2024","46,931.05","3,820.69","41.99"
"NILKAMAL","31-Mar-2025","89,622.11","3,422.47","22.87"
"ARKADE","31-Mar-2025","13,424.70","3,326.25","1.96"
"SUMMITSEC","31-Mar-2025","547.20","-179.84","-1.65"
"RAJRATAN","31-Mar-2025","16,104.00","1,303.00","2.57"
"DREDGECORP","31-Dec-2024","34,174.41","1,605.67","5.73"
"STANLEY","31-Dec-2024","6,500.00","570.00","1.01"
"VISHNU","31-Mar-2025","29,802.44","1,462.90","2.19"
"FUSION","31-Dec-2024","48,251.00","-71,932.00","-71.46"
"THEJO","31-Dec-2024","11,179.81","1,298.98","11.98"
"SHALBY","31-Dec-2024","22,691.51","2,085.80","1.94"
"DEEPINDS","31-Mar-2025","14,699.92","3,743.89","5.85"
"VENKEYS","31-Mar-2025","85,504.00","1,188.00","9.44"
"HLEGLAS","31-Mar-2025","33,596.10","3,164.40","4.64"
"KICL","31-Dec-2024","562.40","-80.30","-1.84"
"DAMCAPITAL","31-Mar-2025","3,656.00","848.00","1.20"
"VINDHYATEL","31-Dec-2024","1,03,998.06","2,691.76","22.71"
"FILATEX","31-Mar-2025","1,09,045.00","4,109.00","0.93"
"SIYSIL","31-Mar-2025","74,978.76","7,204.80","15.88"
"MONARCH","31-Dec-2024","7,607.81","3,933.72","5.01"
"MAYURUNIQ","31-Mar-2025","22,564.07","3,501.52","8.05"
"MMFL","31-Dec-2024","37,014.34","3,170.94","6.57"
"UNITECH","31-Dec-2024","2,548.47","-41,933.23","-1.60"
"HUHTAMAKI","31-Mar-2025","62,095.00","2,615.00","3.46"
"RANEHOLDIN","31-Dec-2024","2,362.00","635.00","4.45"
"SMLISUZU","31-Dec-2024","33,343.00","53.00","0.36"
"VAKRANGEE","31-Mar-2025","4,451.47","280.59","0.03"
"SASKEN","31-Mar-2025","15,791.29","1,150.59","7.29"
"KALAMANDIR","31-Mar-2025","40,427.00","1,351.00","0.92"
"RPTECH","31-Dec-2024","2,69,962.00","3,082.80","4.68"
"HINDWAREAP","31-Dec-2024","7,069.00","-1,394.00","-1.69"
"PSPPROJECT","31-Dec-2024","62,698.63","607.68","1.54"
"KRSNAA","31-Mar-2025","19,046.40","2,067.80","6.40"
"CONFIPET","31-Dec-2024","67,154.00","2,290.00","0.69"
"XPROINDIA","31-Dec-2024","11,099.54","968.05","4.37"
"LANDMARK","31-Dec-2024","20,697.10","1,245.60","3.01"
"SENORES","31-Mar-2025","2,111.00","202.00","0.39"
"STYLEBAAZA","31-Mar-2025","34,713.97","-639.38","-0.86"
"STOVEKRAFT","31-Dec-2024","40,398.20","1,213.90","3.67"
"SOLARA","31-Mar-2025","27,896.00","-488.00","-1.65"
"DCW","31-Mar-2025","54,381.04","1,137.91","0.39"
"SABTNL","31-Dec-2024","244.17","-2,272.74","-8.96"
"JYOTISTRUC","31-Dec-2024","13,864.00","1,171.00","0.14"
"ACCELYA","31-Mar-2025","13,697.82","3,323.73","22.27"
"EIHAHOTELS","31-Mar-2025","14,574.94","4,627.53","7.59"
"PENIND","31-Dec-2024","65,965.00","2,294.00","1.70"
"SMSPHARMA","31-Dec-2024","17,548.14","1,717.23","2.03"
"DOLATALGO","31-Dec-2024","9,386.83","3,738.27","2.12"
"DISHTV","31-Dec-2024","17,824.00","-5,173.00","-0.27"
"MANGLMCEM","31-Mar-2025","51,619.75","1,690.87","6.15"
"BFINVEST","31-Dec-2024","927.50","603.50","1.60"
"PRECAM","31-Dec-2024","14,340.16","535.82","0.56"
"IOLCP","31-Mar-2025","53,230.00","3,162.00","1.08"
"INTERARCH","31-Dec-2024","36,927.88","2,819.66","16.94"
"MOLDTKPAC","31-Mar-2025","20,339.53","1,626.80","4.90"
"RAMRAT","31-Dec-2024","73,346.57","1,422.69","3.23"
"JUBLINDS","30-Jun-2024","-","-29.00","-"
"LUMAXIND","31-Dec-2024","88,821.72","2,219.88","23.75"
"INDIANHUME","31-Mar-2025","39,522.59","49,927.01","94.77"
"MANINDS","31-Mar-2025","1,23,395.00","6,814.00","9.15"
"UDS","31-Dec-2024","39,298.70","1,617.80","2.42"
"INSECTICID","31-Dec-2024","35,943.63","1,500.14","5.15"
"MOL","31-Mar-2025","51,651.94","3,397.44","1.34"
"THEMISMED","31-Dec-2024","9,482.80","308.12","0.33"
"DREAMFOLKS","31-Dec-2024","34,214.30","1,833.60","3.46"
"PIXTRANS","31-Dec-2024","13,843.94","2,260.32","16.59"
"ECOSMOBLTY","31-Mar-2025","18,018.70","1,806.80","3.01"
"PARACABLES","31-Dec-2024","39,053.33","2,253.31","0.74"
"ESAFSFB","31-Mar-2025","1,03,678.00","-18,319.00","-3.56"
"DOLPHIN","31-Mar-2025","486.58","-48.17","-0.12"
"INDOTECH","31-Dec-2024","18,368.00","1,927.00","18.15"
"TARSONS","31-Dec-2024","7,828.40","761.30","1.43"
"DEN","31-Mar-2025","31,275.80","5,986.10","1.30"
"KMEW","31-Dec-2024","4,327.43","1,005.78","9.31"
"HMAAGRO","31-Dec-2024","1,39,039.90","3,406.20","0.68"
"PANAMAPET","31-Dec-2024","46,431.00","3,048.00","5.04"
"NELCO","31-Mar-2025","7,016.00","-408.00","-1.79"
"AEROFLEX","31-Mar-2025","9,450.76","1,111.00","0.86"
"MOTISONS","31-Dec-2024","14,547.67","1,530.45","0.25"
"PARAGMILK","31-Mar-2025","93,134.00","2,621.00","2.20"
"FMGOETZE","31-Dec-2024","43,809.40","2,744.07","4.93"
"VIDHIING","31-Mar-2025","11,009.60","1,203.75","2.40"
"IPL","31-Dec-2024","17,509.00","1,736.00","1.51"
"OWAIS","30-SEP-2024","-","2,471.92","-"
"NITINSPIN","31-Mar-2025","84,213.90","4,636.90","8.25"
"APOLLOPIPE","31-Mar-2025","31,813.79","987.06","2.24"
"63MOONS","31-Dec-2024","4,187.21","130.05","0.28"
"DIAMONDYD","31-Mar-2025","40,287.36","-1,193.89","-5.00"
"AXISCADES","31-Dec-2024","10,503.57","378.41","0.89"
"UGROCAP","31-Mar-2025","41,243.84","4,054.76","4.41"
"SANSTAR","31-Dec-2024","21,767.80","1,426.05","0.78"
"ASTEC","31-Mar-2025","12,031.82","-1,607.90","-8.20"
"RUPA","31-Dec-2024","31,863.65","2,364.53","2.97"
"CUPID","31-Dec-2024","5,075.96","1,108.26","0.41"
"UNIVCABLES","31-Dec-2024","61,900.79","970.43","2.79"
"TATVA","31-Mar-2025","10,894.30","109.50","0.47"
"SPAL","31-Dec-2024","23,441.00","1,800.70","7.18"
"CENTUM","31-Dec-2024","18,173.80","911.70","7.07"
"CARYSIL","31-Mar-2025","20,647.00","1,882.00","6.55"
"BARBEQUE","31-Dec-2024","26,790.60","0.30","-"
"VSSL","31-Mar-2025","43,522.26","1,973.21","2.42"
"GREENPOWER","31-Mar-2025","4,811.00","-1,509.00","-0.14"
"RAMCOIND","31-Dec-2024","28,489.00","1,293.00","1.49"
"TIL","31-Dec-2024","8,298.00","-370.00","-0.56"
"MUKANDLTD","31-Mar-2025","1,11,244.00","1,090.00","0.75"
"JITFINFRA","31-Dec-2024","80.54","0.39","-"
"SANGHIIND","31-Mar-2025","34,599.00","-11,691.00","-4.53"
"NIITLTD","31-Mar-2025","6,387.60","1,900.90","1.41"
"TTKHLTCARE","31-Dec-2024","22,258.17","1,673.24","11.84"
"IKIO","31-Mar-2025","11,470.50","-67.10","-0.09"
"POCL","31-Mar-2025","51,678.36","1,800.75","6.40"
"OMAXE","31-Dec-2024","7,806.00","-4,030.00","-2.20"
"PNBGILTS","31-Mar-2025","41,884.34","7,501.96","4.17"
"KIRIINDUS","31-Dec-2024","23,971.51","2,543.65","4.72"
"DEEDEV","31-Dec-2024","10,912.89","-1,353.28","-2.11"
"AMRUTANJAN","31-Mar-2025","14,023.29","1,517.78","5.25"
"KODYTECH","30-SEP-2024","-","1,020.29","-"
"YASHO","31-Mar-2025","18,552.78","503.46","4.38"
"COSMOFIRST","31-Dec-2024","69,852.00","2,244.00","8.64"
"APCOTEXIND","31-Mar-2025","35,032.53","1,675.50","3.23"
"SDBL","31-Dec-2024","18,105.18","1,031.87","0.53"
"HESTERBIO","31-Mar-2025","7,773.00","963.50","11.33"
"GANDHAR","31-Dec-2024","85,968.34","1,750.49","1.79"
"IGARASHI","31-Dec-2024","21,117.46","515.57","1.64"
"ALPEXSOLAR","30-SEP-2024","-","2,506.50","-"
"HUBTOWN","31-Dec-2024","7,512.00","1,347.00","1.04"
"PLATIND","31-Mar-2025","9,953.30","630.80","1.16"
"ANDHRAPAP","31-Mar-2025","42,505.43","785.41","0.39"
"CANTABIL","31-Mar-2025","22,248.82","2,251.49","2.69"
"GOCLCORP","31-Dec-2024","16,826.25","10,367.51","20.91"
"SURAKSHA","31-Dec-2024","5,954.45","635.69","1.22"
"UNIPARTS","31-Dec-2024","13,392.20","770.70","1.71"
"SBGLP","31-Dec-2024","178.87","18.51","0.01"
"NAVKARCORP","31-Mar-2025","10,492.85","-1,853.07","-1.23"
"SESHAPAPER","31-Mar-2025","52,045.00","2,563.00","4.25"
"BLKASHYAP","31-Dec-2024","24,713.69","93.54","0.04"
"DLINKINDIA","31-Mar-2025","37,617.90","2,743.10","7.73"
"SATIN","31-Mar-2025","56,166.57","4,104.50","3.73"
"IFGLEXPOR","31-Dec-2024","23,518.00","502.00","1.39"
"EKC","31-Dec-2024","24,755.00","2,283.00","2.03"
"ALICON","31-Mar-2025","38,197.92","960.22","5.78"
"SANGAMIND","31-Dec-2024","74,394.00","53.00","0.11"
"TAJGVK","31-Mar-2025","13,059.00","2,860.00","4.48"
"TALBROAUTO","31-Dec-2024","20,439.88","1,866.07","3.02"
"UNIECOM","31-Mar-2025","4,633.80","334.50","0.30"
"MICEL","31-Dec-2024","1,223.55","216.62","0.09"
"EXPLEOSOL","31-Dec-2024","25,945.60","1,673.30","10.78"
"BLSE","31-Mar-2025","1,918.13","216.32","0.24"
"VERANDA","31-Dec-2024","1,818.07","-1,381.44","-1.94"
"AWHCL","31-Dec-2024","1,090.27","-56.02","-0.20"
"JAGRAN","31-Dec-2024","44,707.47","5,968.34","2.74"
"DIVGIITTS","31-Dec-2024","5,745.70","523.50","1.71"
"JINDRILL","31-Dec-2024","25,407.00","4,875.00","16.82"
"HARIOMPIPE","31-Mar-2025","40,014.81","1,724.02","5.66"
"MBAPL","31-Mar-2025","30,315.75","1,425.33","1.63"
"YATRA","31-Dec-2024","15,297.80","553.50","0.35"
"SHRIRAMPPS","31-Dec-2024","2,341.00","-4,529.00","-2.66"
"VERTOZ","31-Dec-2024","1,673.01","144.28","0.02"
"MASTERTR","31-Dec-2024","506.00","211.00","0.20"
"WINDLAS","31-Dec-2024","19,875.00","1,522.70","7.29"
"JPASSOCIAT","31-Dec-2024","79,490.00","-71,702.00","-2.92"
"GMBREW","31-Mar-2025","70,355.00","6,046.00","26.47"
"UDAICEMENT","31-Dec-2024","37,068.00","387.00","0.07"
"WEL","31-Dec-2024","22,190.75","509.47","0.38"
"STERTOOLS","31-Mar-2025","20,569.48","881.17","2.44"
"WHEELS","31-Dec-2024","1,05,763.00","2,257.00","9.24"
"RAMASTEEL","31-Dec-2024","23,090.53","405.75","0.03"
"ROSSTECH","31-Dec-2024","7,598.81","496.62","1.32"
"BSHSL","31-Dec-2024","12,859.19","900.06","0.85"
"RELTD","31-Dec-2024","4,149.40","594.88","0.37"
"GPTINFRA","31-Mar-2025","37,349.92","2,746.59","2.19"
"SIRCA","31-Dec-2024","9,061.40","1,145.62","2.09"
"GKWLIMITED","31-Mar-2025","849.39","380.46","6.38"
"CAMLINFINE","31-Dec-2024","21,188.83","-562.72","-0.33"
"IGPL","31-Mar-2025","48,503.48","2,097.64","6.81"
"DANISH","31-MAR-2025","26,702.45","3,762.53","22.58"
"SALZERELEC","31-Dec-2024","33,574.88","1,457.24","8.22"
"GRPLTD","31-Mar-2025","15,680.44","2,131.11","39.96"
"ROTO","31-Mar-2025","8,389.22","1,257.68","2.00"
"SYNCOMF","31-Dec-2024","13,085.41","1,279.12","0.14"
"SIGACHI","31-Dec-2024","10,712.18","967.80","0.29"
"DPSCLTD","31-Dec-2024","15,623.88","323.07","0.02"
"MUFIN","31-Dec-2024","4,347.39","605.77","0.37"
"HERANBA","31-Dec-2024","34,885.00","-912.00","-2.28"
"EXCELINDUS","31-Dec-2024","20,147.54","639.62","5.09"
"GNA","31-Mar-2025","37,848.43","2,544.80","5.93"
"SUYOG","31-Dec-2024","4,995.86","1,718.06","15.90"
"SURYODAY","31-Mar-2025","53,068.00","-3,378.00","-3.18"
"RIIL","31-Mar-2025","1,894.00","250.00","1.66"
"ATULAUTO","31-Mar-2025","18,125.00","1,056.00","3.81"
"GTPL","31-Mar-2025","56,933.40","815.00","0.72"
"SADHNANIQ","31-Dec-2024","3,010.00","64.00","0.02"
"PANACEABIO","31-Dec-2024","11,175.00","965.00","1.58"
"SAHASRA","No Records",,,
"AGARIND","31-Dec-2024","44,926.69","1,726.66","11.54"
"DSSL","31-Dec-2024","31,020.04","1,831.18","14.40"
"GODAVARIB","31-Dec-2024","44,843.37","611.00","1.38"
"BIGBLOC","31-Dec-2024","1,849.90","-10.61","-0.01"
"HIRECT","31-Mar-2025","18,539.05","1,014.97","5.92"
"SWELECTES","31-Dec-2024","11,850.98","-299.02","-1.97"
"DCMSRIND","31-Dec-2024","50,286.00","2,319.00","2.67"
"BCG","31-Dec-2024","10,832.67","6.43","-"
"WALCHANNAG","31-Dec-2024","6,239.00","-1,713.00","-3.09"
"IRMENERGY","31-Mar-2025","29,792.50","455.00","1.11"
"BHARATWIRE","31-Mar-2025","17,201.87","2,064.93","3.02"
"PENINLAND","31-Dec-2024","10,024.00","-681.00","-0.21"
"INDNIPPON","31-Dec-2024","21,655.00","1,588.00","7.02"
"KOKUYOCMLN","31-Dec-2024","16,070.54","-416.16","-0.41"
"ARMANFIN","31-Dec-2024","4,490.94","987.27","9.41"
"MADRASFERT","31-Dec-2024","80,890.00","7,463.00","4.63"
"ZOTA","31-Dec-2024","6,981.99","207.77","0.76"
"BOROSCI","31-Dec-2024","9,541.58","668.42","0.75"
"SPIC","31-Mar-2025","75,944.00","1,309.00","0.64"
"OAL","31-Dec-2024","22,269.04","1,069.68","3.18"
"NDRAUTO","31-Mar-2025","19,322.69","1,639.28","6.89"
"HIMATSEIDE","31-Dec-2024","55,110.70","1,768.23","1.41"
"HITECHGEAR","31-Dec-2024","14,873.50","747.00","3.98"
"OMINFRAL","31-Dec-2024","11,131.52","369.92","0.37"
"BETA","31-MAR-2025","10,681.83","214.42","2.12"
"TEXINFRA","31-Mar-2025","705.20","9.84","0.01"
"AMNPLST","31-Dec-2024","18,989.99","916.95","1.67"
"MANGCHEFER","31-Mar-2025","79,151.47","1,603.15","1.35"
"DYCL","31-Mar-2025","33,259.42","2,356.46","9.73"
"BCLIND","31-Dec-2024","52,581.91","1,423.59","0.48"
"RML","31-Dec-2024","52,239.00","198.00","1.22"
"MSPL","31-Dec-2024","71,731.27","825.60","0.21"
"ASALCBR","31-Mar-2025","24,930.30","2,233.42","12.35"
"EVERESTIND","31-Dec-2024","37,080.81","-1,185.67","-7.49"
"CEWATER","31-Dec-2024","1,198.30","37.70","0.18"
"MONTECARLO","31-Dec-2024","55,463.00","9,534.00","45.98"
"TFCILTD","31-Mar-2025","6,945.25","3,020.31","3.26"
"ALLDIGI","31-Mar-2025","8,883.00","1,097.00","7.20"
"BUTTERFLY","31-Mar-2025","18,923.17","-","5.05"
"EIMCOELECO","31-Mar-2025","6,844.22","1,487.27","-"
"SMCGLOBAL","31-Mar-2025","21,214.33","861.20","0.82"
"5PAISA","31-Mar-2025","7,140.66","1,006.66","3.22"
"MATRIMONY","31-Mar-2025","11,961.00","818.00","3.79"
"YUKEN","31-Dec-2024","9,504.32","246.78","1.90"
"IMPAL","31-Mar-2025","20,509.00","2,393.00","19.18"
"LIKHITHA","31-Dec-2024","12,763.34","1,728.20","4.38"
"KABRAEXTRU","31-Mar-2025","14,721.71","1,198.96","3.43"
"SUBEXLTD","31-Mar-2025","7,336.00","-1,760.00","-0.32"
"FAIRCHEMOR","31-Dec-2024","11,405.03","351.78","2.70"
"SPORTKING","31-Mar-2025","63,778.20","3,611.73","2.81"
"TECHLABS","30-SEP-2024","-","346.29","-"
"TBZ","31-Dec-2024","92,879.13","3,048.04","4.57"
"STEELCAS","31-Dec-2024","10,269.96","1,920.91","9.49"
"WINDMACHIN","31-Dec-2024","10,797.25","812.72","1.25"
"CENTRUM","31-Mar-2025","2,965.96","-2,230.92","-0.54"
"VINCOFE","31-Mar-2025","10,637.07","1,564.13","1.24"
"ARIHANTSUP","31-Dec-2024","6,199.20","1,415.01","3.44"
"DVL","31-Dec-2024","11,358.66","4,450.33","12.71"
"CLSEL","31-Dec-2024","39,807.77","2,900.59","5.83"
"HEXATRADEX","31-Dec-2024","675.09","442.41","0.80"
"TNPL","31-Mar-2025","1,39,379.00","2,212.00","3.20"
"RICOAUTO","31-Dec-2024","38,097.00","430.00","0.32"
"MAMATA","31-Dec-2024","4,871.90","778.30","3.16"
"RAMCOSYS","31-Dec-2024","9,494.10","994.10","2.73"
"SHANKARA","31-Mar-2025","1,64,026.00","2,845.00","11.73"
"ORIENTTECH","31-Mar-2025","26,247.22","1,343.73","3.42"
"PVSL","31-Dec-2024","64,961.70","-1,343.40","-1.89"
"PUNJABCHEM","31-Mar-2025","20,182.00","746.00","6.08"
"ASIANENE","31-Mar-2025","21,713.35","2,255.24","5.04"
"GPTHEALTH","31-Dec-2024","10,408.75","1,224.61","1.49"
"ANDHRSUGAR","31-Dec-2024","30,106.96","746.02","0.55"
"SOLEX","31-MAR-2025","39,165.08","2,899.60","26.84"
